PairID,Yr,HatchDate
Bonden-1-2021-1,2021,2021-06-09
Bonden-2-2021-1,2021,2021-06-19
Bonden-3-2021-1,2021,2021-06-19
Bonden-4-2021-1,2021,2021-06-18
Bonden-4-2021-2,2021,2021-06-21
Bonden-4-2021-3,2021,NA
Bonden-4-2021-4,2021,2021-06-23
Bonden-5-2021-1,2021,2021-06-17
Bonden-5-2021-2,2021,2021-06-18
Bonden-5-2021-3,2021,2021-06-23
Bonden-5-2021-4,2021,2021-06-21
Bonden-6-2021-1,2021,2021-06-18
Bonden-6-2021-2,2021,2021-06-23
Bonden-6-2021-3,2021,2021-06-24
Bonden-6-2021-4,2021,NA
Bonden-6-2021-5,2021,2021-07-02
Farallon-1-2021-1,2021,2021-06-17
Farallon-1-2021-2,2021,2021-06-19
Farallon-1-2021-3,2021,2021-06-19
Farallon-1-2021-4,2021,2021-06-21
Farallon-1-2021-5,2021,2021-06-20
Farallon-2-2021-1,2021,2021-06-17
Farallon-2-2021-2,2021,2021-06-20
Farallon-2-2021-3,2021,2021-06-22
Farallon-2-2021-4,2021,2021-06-25
Farallon-3-2021-1,2021,2021-06-15
Farallon-3-2021-2,2021,2021-06-18
Farallon-3-2021-3,2021,2021-06-19
Farallon-3-2021-4,2021,2021-06-21
Farallon-3-2021-5,2021,NA
Farallon-3-2021-6,2021,2021-06-21
Farallon-3-2021-7,2021,NA
Farallon-4-2021-1,2021,2021-06-20
Farallon-4-2021-2,2021,2021-06-20
Farallon-4-2021-3,2021,NA
Farallon-4-2021-4,2021,2021-06-23
Farallon-4-2021-5,2021,NA
Farallon-5-2021-1,2021,2021-06-22
Farallon-5-2021-2,2021,2021-06-24
Farallon-5-2021-3,2021,2021-06-29
Farallon-5-2021-4,2021,NA
Farallon-6-2021-1,2021,2021-06-22
Farallon-6-2021-2,2021,2021-06-27
Farallon-6-2021-3,2021,2021-06-29
Farallon-6-2021-4,2021,NA
Rost-2-2021-1,2021,2021-06-12
Rost-2-2021-2,2021,2021-06-17
Rost-2-2021-3,2021,NA
Rost-2-2021-4,2021,2021-06-20
Rost-2-2021-5,2021,2021-06-22
Rost-3-2021-1,2021,2021-06-15
Rost-3-2021-2,2021,2021-06-15
Rost-3-2021-3,2021,2021-06-17
Rost-3-2021-4,2021,2021-06-19
Rost-3-2021-5,2021,2021-06-21
Rost-4-2021-1,2021,2021-06-22
Rost-5-2021-1,2021,NA
Rost-5-2021-2,2021,2021-06-19
Rost-5-2021-3,2021,NA
Rost-6-2021-1,2021,2021-06-25
Rost-6-2021-2,2021,2021-06-29
Rost-6-2021-3,2021,NA
Rost-8A-2021-1,2021,NA
Triangle-1-2021-1,2021,2021-06-21
Triangle-1-2021-2,2021,2021-06-21
Triangle-1-2021-3,2021,2021-06-22
Triangle-1-2021-4,2021,NA
Triangle-1-2021-6,2021,2021-06-26
Triangle-1-2021-7,2021,NA
Triangle-2-2021-1,2021,2021-06-18
Triangle-2-2021-2,2021,2021-06-20
Triangle-2-2021-3,2021,2021-06-20
Triangle-2-2021-4,2021,2021-06-21
Triangle-2-2021-5,2021,2021-06-21
Triangle-2-2021-6,2021,2021-07-01
Triangle-3-2021-1,2021,2021-06-18
Triangle-3-2021-2,2021,2021-06-25
Triangle-3-2021-3,2021,NA
Triangle-3-2021-4,2021,NA
Triangle-5-2021-1,2021,2021-06-26
Triangle-5-2021-2,2021,NA
Triangle-5-2021-3,2021,NA
Bonden-6-2021-4,2021,NA
Rost-5-2021-3,2021,NA
