filename	start_time	end_time
Video2019/FARALLON3/FARALLON3_20190502_185350_first.jpg	2019-05-02 18:53:00	2019-05-02 19:23:00
Video2019/FARALLON3/FARALLON3_20190502_192350_first.jpg	2019-05-02 19:23:00	2019-05-02 19:53:00
Video2019/FARALLON3/FARALLON3_20190502_195350_first.jpg	2019-05-02 19:53:00	2019-05-02 20:23:00
Video2019/FARALLON3/FARALLON3_20190502_202350_first.jpg	2019-05-02 20:23:00	2019-05-02 20:35:00
Video2019/FARALLON3/FARALLON3_20190502_203550_first.jpg	2019-05-02 20:35:00	2019-05-02 21:05:00
Video2019/FARALLON3/FARALLON3_20190502_210550_first.jpg	2019-05-02 21:05:00	2019-05-02 21:35:00
Video2019/FARALLON3/FARALLON3_20190502_213550_first.jpg	2019-05-02 21:35:00	2019-05-02 22:05:00
Video2019/FARALLON3/FARALLON3_20190502_220550_first.jpg	2019-05-02 22:05:00	2019-05-02 22:35:00
Video2019/FARALLON3/FARALLON3_20190502_223550_first.jpg	2019-05-02 22:35:00	2019-05-02 22:46:00
Video2019/FARALLON3/FARALLON3_20190502_224648_first.jpg	2019-05-02 22:46:00	2019-05-02 23:16:00
Video2019/FARALLON3/FARALLON3_20190502_231648_first.jpg	2019-05-02 23:16:00	2019-05-02 23:46:00
Video2019/FARALLON3/FARALLON3_20190502_234648_first.jpg	2019-05-02 23:46:00	2019-05-03 00:16:00
Video2019/FARALLON3/FARALLON3_20190503_001648_first.jpg	2019-05-03 00:16:00	2019-05-03 00:46:00
Video2019/FARALLON3/FARALLON3_20190503_004648_first.jpg	2019-05-03 00:46:00	2019-05-03 00:58:00
Video2019/FARALLON3/FARALLON3_20190503_005821_first.jpg	2019-05-03 00:58:00	2019-05-03 01:28:00
Video2019/FARALLON3/FARALLON3_20190503_012821_first.jpg	2019-05-03 01:28:00	2019-05-03 01:58:00
Video2019/FARALLON3/FARALLON3_20190503_015821_first.jpg	2019-05-03 01:58:00	2019-05-03 02:12:00
Video2019/FARALLON3/FARALLON3_20190503_103433_first.jpg	2019-05-03 10:34:00	2019-05-03 10:54:00
